TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,FI-3134,YIP3-0005,FA-3134 EQUIPMENT,ROTAMETER,"1""",FF55C,PDI ,L,-,0.9,-,-,42,-,8,-,120,-,100,20,14,0.2,963.1,0.654,-,-,-,-,-,-,-,-,,L/h,,,,
,,FI-3353AX,YIP3-0007,GA-3353A SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3353BX,YIP3-0007,GA-3353B SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3373AX,YIP3-0007,GA-3373A SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3373BX,YIP3-0007,GA-3373B SEAL PLAN,,"1/2""",BB55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3374,YIP3-3007,GA-3374A/B DISCHARGE,ROTAMETER,"2""",BB55C1,PDI ,L,-,2.1,-,-,70,-,2.8,-,150,-,8,6.666666667,4.666666667,0.15,800,1,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FI-3390,YIP3-3007,NL TO VENT HEADER (RTO),ROTAMETER,"3/4""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,24,20,14,0.2,8.8,0.02,28,1.41,1,-,-,-,-,-,,Nm3/h,,,,
,,FI-3420AX,YIP3-0007,GA-3420A SEAL PLAN,,"1/2""",FF55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,FI-3420BX,YIP3-0007,GA-3420B SEAL PLAN,,"1/2""",FF55C1,NL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FT-3111,YIP3-1001,GA-3110A/B SUCTION,MASS FLOWMETER,"1""",FF55C,PPA,L,-,-0.08,-,-,20,-,0.5,-,65,-,156,67,47,0.2,1210,4,-,-,-,-,-,-,-,-,,kg/h,,,,
,,FT-3119,YIP3-1001,"HP STEAM TO EA-3110 
SHELL SIDE ","REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BA59C,SH,S,-,31,-,-,255,-,46,-,400,-,7000,4774,3341.8,0.2,12.9,0.02,18,1.15,0.96,-,-,-,-,-,,kg/h,,,,
,,FT-3129,YIP3-1001,FRESH PP TO EA-3112,MASS FLOWMETER,"2""",BB59C1,PPF,L,-,49.7,-,35,25,-,55,-,65,-,7367,5152,3606,0.5,508.1,0.08,-,-,-,-,-,-,-,-,,m3/h,,,,
,,FT-3135,YIP3-1001,PROCESS WATER TO EA-3112,MASS FLOWMETER,"3""",BB59C1,PPW,L,-,49.8,-,-,102,-,61,-,180,-,22830,19010,13307,0.2,913.2,0.27,-,-,-,-,-,-,-,-,,kg/h,,,,
,,FT-3138,YIP3-1001,GA-3112A/B SUCTION,MASS FLOWMETER,"1""",BB55C1,PCS,L,1.6,-0.08,-,-,20,-,0.5,-,65,-,15.86,1.22,0.85,0.2,1220,5,-,-,-,-,-,-,-,-,,kg/h,,,1보다 작으면 소수점 두자리,
,,FT-3139,YIP3-1001,GA-3113 SUCTION,MASS FLOWMETER,"1""",BB55C1,PCS,L,1.6,-0.1,-,-,20,-,0.5,-,65,-,254,180,126,0.2,1220,5,-,-,-,-,-,-,-,-,,kg/h,,,,
,,FT-3141,YIP3-9001,GB-3120 DISCHARGE,"REMOTE SEAL 
DP FLOW TRANSMITTER","10""",BB59C1,PRG,V,-,47,-,-,120.6,-,55,-,180,-,80000,67992.95907,47595.07135,0.2,83.6,0.01,43.55,1.49,0.67,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3142,YIP3-9001,GB-3120 SUCTION,"REMOTE SEAL 
DP FLOW TRANSMITTER","12""",BB59C1,PRG,V,-,31,-,-,94,-,55,-,150,-,80000,67992.95907,47595.07135,0.2,64.4,0.01,43.55,1.44,0.7,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3143,YIP3-1002,GAS BLEED TO DA-3210,VORTEX FLOWMETER,"2""",BB59C1,PRG,V,-,42,-,-,121,-,55,-,180,-,1175.677347,979.7311228,685.811786,0.2,83.6,0.01,43.55,1.49,0.67,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3145,YIP3-1002,WASH WATER TO DA-3140,VORTEX FLOWMETER,"4""",BB59C1,PWW,L,-,39.3,-,-,91,-,48.1,-,150,-,43,35.89874611,12,0.2,965,0.31,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3157,YIP3-1003,FC-3150 GAS OUTLET,VORTEX FLOWMETER,"3""",BB57C1,PRG,V,-,16.8,-,-,93,-,20,-,140,-,1501.350929,1364.864481,375,0.2,29,0.01,43.43,1.2,0.86,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3163,YIP3-1003,GA-3163A/B DISCHARGE,VORTEX FLOWMETER,"1-1/2""",BB55C1,PDI,L,-,6.5,-,-,73,-,8.4,-,120,-,3,1.681667543,1.17716728,0.2,760.4,0.41,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3168,YIP3-1003,FC-3170 FEED INLET,"REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BB55C1,PRG,V,-,0.1,-,-,38,-,2,-,120,-,672.5,370.0170576,259.0119403,0.2,2.48,0.01,56.62,1.11,0.98,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3210,YIP3-2001,DA-3210 BOTTOMS,VORTEX FLOWMETER,"1-1/2""",BB57C1,PHE,L,-,16.51,-,173,103,-,25,-,200,-,1.351047588,1.12587299,0.788111093,0.2,615.7,0.14,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,1보다 작으면 소수점 두자리
,,FT-3211,YIP3-2001,"HP STEAM TO EA-3211 
SHELL SIDE ","REMOTE SEAL 
DP FLOW TRANSMITTER","1-1/2""",BA59C,SH,S,-,31,-,-,255,-,46,-,400,-,334,315.0554822,100,0.2,12.9,0.02,18,1.15,0.91,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3212,YIP3-2001,DA-3210 REFLUX,VORTEX FLOWMETER,"2""",BB57C1,PPR,L,-,22.9,-,-,39,-,31.7,-,120,-,11.74916805,6.699251248,3,0.2,480.8,0.07,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3213,YIP3-2001,DA-3220 FEED,VORTEX FLOWMETER,"2""",BB57C1,PPR,L,-,22.8,-,-,39,-,31.7,-,120,-,10,8.922628952,3,0.2,480.8,0.07,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3220,YIP3-2002,DA-3220 BOTTOMS,"ROTAMETER W/ 
TRANSMITTER","1""",BB57C1,PHE,L,-,19.6,-,-,55,-,25,-,120,-,0.076244003,0.063536669,0.044475668,0.2,437.7,0.07,-,-,-,-,-,-,-,-,,m3/h,,,0.1미만 소수점 세자리,
,,FT-3221,YIP3-2002,"LP STEAM TO EA-3221 
SHELL SIDE","REMOTE SEAL 
DP FLOW TRANSMITTER","4""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,1099,1019.215029,300,0.2,2.3,0.01,18,1.34,1,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3222,YIP3-2002,CL FROM EA-3222,"REMOTE SEAL 
DP FLOW TRANSMITTER","2""",BB55C,CL,L,-,4.7,-,-,62,-,9,-,200,-,7.4,6.182428993,4.327700295,0.2,982.3,0.451,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3225,YIP3-2002,DA-3220 REFLUX,VORTEX FLOWMETER,"2""",BB57C1,PPR,L,-,22.1,-,-,47,-,28.3,-,120,-,9.399691017,6.658574266,4.661001986,0.2,453.1,0.07,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3226,YIP3-2002,EA-3225 VENT GAS,INTEGRAL ORIFICE,"1""",BB57C1,PRG,V,-,19,-,-,47,-,25,-,120,-,20.88268834,17.40224029,12.1815682,0.2,42.7,0.01,41.95,1.46,0.73,-,-,-,-,-,,Nm3/h,,,100미만 소수점 한자리,
,,FT-3227,YIP3-1001,GA-3226A/B DISCHARGE,VORTEX FLOWMETER,"2""",BB59C1,PPR,L,-,50.7,-,-,47,-,55,-,120,-,12.8,9.335687486,3,0.2,453.1,0.07,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3228,YIP3-2002,OFF GAS TO FLARE HEADER,MASS FLOWMETER,"2""",BB55C1,PRG,V,-,5.5,-,-,27,-,7.5,-,120,-,72.5,60.4,20,0.2,12.11,0.01,42.65,1.2,0.9,-,-,-,-,-,,kg/h,,,100미만 소수점 한자리,
,,FT-3311,YIP3-3001,"MP STEAM TO EA-3311 
SHELL SIDE","REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,3630,2225.473428,1557.8314,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3312,YIP3-3001,DA-3310 FEED INLET,VORTEX FLOWMETER,"4""",BB55C1,PDI,L,-,2,-,-,92,-,8.9,-,120,-,77.44476679,64.54697612,32,0.2,896.2,0.31,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3314,YIP3-3001,WASH WATER TO DA-3310,MAGNETIC FLOWMETER,"4""",BB55C1,PWW,L,-,5.1,-,-,94,-,11.9,-,150,-,58.91857084,45.32197757,31.7253843,0.2,962.8,0.3,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3315,YIP3-3001,DA-3310 REFLUX,VORTEX FLOWMETER,"1""",BB55C1,PDI ,L,-,6.4,-,-,45,-,8.7,-,120,-,2.2,1.045145331,0.3,0.2,970.2,0.61,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3316,YIP3-1001,ETHER TO EA-3112,MASS FLOWMETER,"1""",BB59C1,PE,L,-,50.1,-,-,45,-,61.5,-,120,-,1398,382,140,0.5,698.8,0.26,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3317,YIP3-3001,ETHER TO FA-3781A,MASS FLOWMETER,"1""",BB55C1,PE,L,-,3.5,-,-,45,-,5.7,-,120,-,500,102,72,0.2,698.8,0.26,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,100미만 소수점 한자리인데 소수점 반올림
,,FT-3320,YIP3-3002,DA-3320 FEED INLET,"REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BB55C1,PDI ,L,-,5.7,-,-,97,-,7.6,-,150,-,171.700122,113.4279694,79.39957857,0.2,901.7,0.29,-,-,-,-,-,-,-,-,,m3/h,,,100이상 소수 반올림,100미만 소수점 한자리인데 소수점 반올림
,,FT-3321,YIP3-3002,"MP STEAM TO EA-3321 
SHELL SIDE","REMOTE SEAL 
DP FLOW TRANSMITTER","8""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,15828,13193,9225.3,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3325,YIP3-3003,DA-3320 REFLUX,VORTEX FLOWMETER,"3""",BB55C1,PDI ,L,-,7.5,-,-,50,-,10.2,-,140,-,43.2,33.19837026,23.23885918,0.2,785.4,0.82,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3330,YIP3-3002,DA-3330 FEED INLET,VORTEX FLOWMETER,"1-1/2""",BB55C1,PDI ,L,-,6.4,-,-,110,-,8.5,-,180,-,9.5,5.540485555,3.878339889,0.2,737.3,0.27,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3331,YIP3-3002,"LP STEAM TO EA-3331 
SHELL SIDE","REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,3000,1444.050357,1010.83525,0.2,2.3,0.01,18,1.34,0.8,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3332,YIP3-3002,GA-3333A/B DISCHARGE TO GA-3115A/B,MASS FLOWMETER,"1""",BB55C1,PDI ,L,-,6.2,-,-,118,-,8.9,-,160,-,724,603,300,0.2,822.7,0.24,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3333,YIP3-3002,NPA FRACTION TO EA-3333,MASS FLOWMETER,"1""",BB55C1,PDI ,L,-,1.8,-,-,117,-,8.9,-,160,-,300,100,50,0.2,822.7,0.24,-,-,-,-,-,-,-,-,,kg/h,,,,100미만 소수점 한자리인데 소수점 반올림
,,FT-3335,YIP3-3002,DA-3330 OVHD TO DA-3320,"REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BB55C1,PDI ,V,-,1.9,-,-,110,-,4,-,180,-,3000,1857.183091,1300.028164,0.2,3.9,0.01,41.6,1.14,0.97,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3340,YIP3-3003,ACETONE TO FA-781B,MASS FLOWMETER,"1""",BB55C1,PDI ,L,-,0.44,-,-,56,-,2,-,150,-,100,24,17,0.06,779.3,0.73,-,-,-,-,-,-,-,-,,kg/h,,,,100미만 소수점 한자리인데 소수점 반올림
,,FT-3341,YIP3-3003,DA-3320 OVHD TO DA-3340,VORTEX FLOWMETER,"4""",BB55C1,PDI ,V,-,1.6,-,-,106,-,4,-,180,-,1000,440.5460958,308.3822671,0.2,4,0.01,46.95,1.12,0.97,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3351,YIP3-3004,DA-3320 OVHD TO EA-3351A/B,"REMOTE SEAL 
DP FLOW TRANSMITTER","12""",BB55C1,PDI ,V,-,1.6,-,-,106,-,4,-,180,-,31399,25176,17623,0.2,4,0.01,46.92,1.12,0.97,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3352,YIP3-3004,"MP STEAM TO EA-3352 
SHELL SIDE",VORTEX FLOWMETER,"6""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,4800,1914,1339.8,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3353,YIP3-3004,GA-3353A/B DISCHARGE,MASS FLOWMETER,"2""",BB55C1,PIP,L,-,6.2,-,-,90,-,8.2,-,120,-,9767,7146,5002,0.2,712.9,0.43,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3354,YIP3-3004,FA-3354 LIQUID OUTLET,MAGNETIC FLOWMETER,"1-1/2""",BB55C1,PS,L,-,0.5,-,-,30,-,2,-,120,-,1.5,1.25,0.875,0.2,802.1,0.73,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,100미만 소수점 한자리인데 소수점 두자리
,,FT-3355,YIP3-3005,POLISHED WATER TO EA-3355 SHELL SIDE OUTLET,VORTEX FLOWMETER,"1""",BB55C1,WT,L,-,11,-,-,AMB,-,14,-,AMB,-,1,0.5,0.2,0.2,997.4,0.89,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,100미만 소수점 한자리인데 소수점 두자리
,,FT-3356,YIP3-3006,DA-3360 FEED INLET,VORTEX FLOWMETER,"1-1/2""",BB55C1,PDI ,L,-,4.1,-,-,90,-,8.3,-,120,-,3.209942775,2.161099189,1.512769433,0.2,838.8,0.33,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3356-1,YIP3-3004,GA-3356A/B DISCHARGE TO FA-3374,VORTEX FLOWMETER,"1""",BB55C1,PDI ,L,-,5.9,-,-,40,-,8.3,-,120,-,1,0.5,0.2,0.2,897.5,0.74,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3357,YIP3-3004,DA-3350 REFLUX,MASS FLOWMETER,"4""",BB55C1,PS,L,-,4.7,-,-,40,-,7.1,-,120,-,44.9,34.6,24.2,0.2,789.4,0.81,-,-,-,-,-,-,-,-,,ton/h,,,100미만 소수점 한자리,
,,FT-3358,YIP3-3004,DA-3350 FEED INLET,MASS FLOWMETER,"4""",BB55C1,PDI ,L,-,1.67,-,-,106,-,4,-,180,-,9746,8122,5685,0.2,712.8,0.29,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3359A,YIP3-3007,GA-3371A/B DISCHARGE,VORTEX FLOWMETER,"2""",BB55C1,PDI ,L,-,6.3,-,-,35,-,8.6,-,120,-,12,9.1,4.6,0.2,780.7,1.54,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3359B,YIP3-3007,GA-3371A/B DISCHARGE,MASS FLOWMETER,"1""",BB55C1,PDI ,L,-,6.3,-,-,35,-,8.6,-,120,-,1000,500,200,0.5,780.7,1.54,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3361,YIP3-3006,LP STEAM TO EA-3361 SHELL SIDE,"REMOTE SEAL 
DP FLOW TRANSMITTER","4""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,1238.4,1032,722.4,0.2,2.3,0.01,18,1.34,1,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3366,YIP3-3006,GA-3365A/B DISCHARGE,VORTEX FLOWMETER,"1""",BB55C1,PDI ,L,-,4.5,-,-,74,-,6.9,-,120,-,1.5,1.083672412,0.758570688,0.2,771.7,0.48,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3368,YIP3-3006,DA-3360 REFLUX,VORTEX FLOWMETER,"1""",BB55C1,PDI ,L,-,4.6,-,-,74,-,6.9,-,120,-,2.3,1.772709602,1.240896722,0.2,771.7,0.48,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3375,YIP3-3007,GA-3373A/B DISCHARGE,MASS FLOWMETER,"4""",FF55C1,PIP,L,-,3.2,-,-,35,-,6.6,-,120,-,72,39,27,0.5,780.7,1.54,-,-,-,-,-,-,-,-,,ton/h,,,100미만 소수점 한자리,100미만 소수점 한자리인데 소수점 반올림
,,FT-3401,YIP3-4004,IPA TO LOADING SYSTEM,MASS FLOWMETER,"4""",FF55C1,PIP,L,-,1.8,-,-,35,-,5.9,-,120,-,60,50,35,0.5,775,1.34,-,-,-,-,-,-,-,-,,ton/h,,,100미만 소수점 한자리,100미만 소수점 한자리인데 소수점 반올림
,,FT-3403,YIP3-4004,IPA TO LOADING SYSTEM,MASS FLOWMETER,"4""",FF55C1,PIP,L,-,1.7,-,-,35,-,5.9,-,120,-,60,50,35,0.5,775,1.34,-,-,-,-,-,-,-,-,,ton/h,,,100미만 소수점 한자리,100미만 소수점 한자리인데 소수점 반올림
,,FT-3412,YIP3-4001,PROPYLENE FROM GA-410A/B,MASS FLOWMETER,"2""",BA8A,PPR,L,-,18.01,-,-,35,-,25.9,-,65,-,6183,5152,3606,0.5,486,0.09,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3513A,YIP3-8025,SM TO FLARE MAIN,VORTEX FLOWMETER,"8""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,5600,-,50,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,,To be confirmed by vendor.,kg/h,,,100이상 소수 반올림,100미만 소수점 한자리인데 소수점 반올림
,,FT-3513B,YIP3-8025,SM TO FLARE STAGED,VORTEX FLOWMETER,"3""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,700,-,200,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,,To be confirmed by vendor.,kg/h,,,100이상 소수 반올림,
,,FT-3801,YIP3-8011,HS STEAM FROM B.L,"REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BA59C,HS,S,-,40,-,-,370,-,46,-,425,-,6561,4550,3185,0.2,15.5,0.02,18,1.41,1,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3802,YIP3-8011,BFW FROM B.L,VORTEX FLOWMETER,"1-1/2""",BA59C,BFW,L,-,60,-,-,120,-,66,-,143,-,780,540,378,0.2,974.5,0.35,-,-,-,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3803,YIP3-8011,CL TO B.L,VORTEX FLOWMETER,"3""",BB55C,CL,L,-,11,-,-,100,-,15.5,-,150,-,32.4,25,17.5,0.2,958.8,0.28,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3805,YIP3-8011,MS TO BG-3803,"REMOTE SEAL 
DP FLOW TRANSMITTER","10""",BB57C,MS,S,-,14.6,-,-,226,-,18,-,350,-,26680,23760,16632,0.2,7.2,0.02,18,1.41,1,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3814,YIP3-8011,MP STEAM TO SL-CONSUMERS,"REMOTE SEAL 
DP FLOW TRANSMITTER","6""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,7710,6340,1940,0.2,2.3,0.02,18,1.36,0.96,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3818,YIP3-8011,CL TO BG-3803,VORTEX FLOWMETER,"1-1/2""",BB55C,CL,L,-,11,-,-,100,-,15.5,-,150,-,1.745253495,1.554350094,1.088045066,0.2,958.6,0.28,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3820,D-G-1-8012,"COOLING WATER TO 
BLOW DOWN",VORTEX FLOWMETER,"2""",BB55C,WCS,L,-,5,-,-,32,-,7,-,50,-,10,3,2,0.2,995.3,0.77,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3830,YIP3-8013,SM STEAM TO DA-3830,VORTEX FLOWMETER,"4""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,1242,1035,724.5,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,-,,kg/h,,,100이상 소수 반올림,
,,FT-3835,D-G-1-8013,DEMI-WATER TO EA-3835,VORTEX FLOWMETER,"3""",BB55C1,WT,L,-,7.5,-,-,20,-,9.9,-,120,-,24.7,17.45648473,12.21953931,0.2,998.5,1,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3836,YIP3-8013,DEMI WATER TO DA-3830,VORTEX FLOWMETER,"3""",BB55C1,WT,L,-,5,-,-,100,-,10,-,160,-,25.72809305,18.18307949,12.72815564,0.2,958.6,0.28,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3838,YIP3-8013,GA-3830A/B DISCHARGE ,VORTEX FLOWMETER,"3""",BB55C1,WT,L,-,5.6,-,-,120,-,9.7,-,180,-,40.4,18.48780229,12.9414616,0.2,942.8,0.22,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3842,YIP3-8014,INSTRUMENT AIR FROM B.L,VORTEX FLOWMETER,"4""",BC55C,AI,V,-,6,-,-,AMB,-,9,-,60,-,500,300,210,0.2,8.1,0.02,28.95,1.41,1,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,
,,FT-3847,YIP3-8014,LOW PRESSURE NITROGEN FROM B.L,VORTEX FLOWMETER,"4""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,700,100,70,0.2,8.8,0.02,28,1.41,1,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,100미만 소수점 한자리인데 소수점 반올림
,,FT-3860,YIP3-8023,NITROGEN TO FLARE HEADER,VORTEX FLOWMETER,"1""",BB55C,NL,V,-,0.7,-,-,AMB,-,9,-,60,-,20,10,5,0.2,1.9,0.02,28,1.41,1,-,-,-,-,-,,Nm3/h,,,,100미만 소수점 한자리인데 소수점 반올림
,,FT-3870,YIP3-8015,PLANT AIR FROM B.L,VORTEX FLOWMETER,"2""",BB55C,AP,V,-,7,-,-,AMB,-,9,-,60,-,100,50,20,0.2,9.2,0.02,28.95,1.51,1,-,-,-,-,-,,Nm3/h,,,100이상 소수 반올림,100미만 소수점 한자리인데 소수점 반올림
,,FT-3890,YIP3-8026,WASTE WATER FROM EA-3324,MAGNETIC FLOWMETER,"3""",BB55C1,WW,L,-,2.2,-,-,40,-,11.9,-,150,-,19.93097541,15.33151955,10.73206368,0.2,992.4,0.65,-,-,-,-,-,-,-,-,,m3/h,,,100미만 소수점 한자리,
,,FT-3891,YIP3-8017,DRW TO ADMIN BUILDING,MAGNETIC FLOWMETER,"2""",FF55C1,DRW,L,-,5,-,-,AMB,-,7,-,60,-,15,10,7,0.2,998.5,1,-,-,-,-,-,-,-,-,HOLD : Flow Rate,m3/h,,,100미만 소수점 한자리,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RO-3115AA,YIP3-0008,GA-3115A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3115AB,YIP3-0008,GA-3115A SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3115BA,YIP3-0008,GA-3115B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3115BB,YIP3-0008,GA-3115B SEAL PLAN,RESTRICTION ORIFICE,"3/4""",BB59C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3134A,YIP3-0005,Sampling to EA-3134,RESTRICTION ORIFICE,"1""",FF59C,PDI ,L,-,31.5,-,-,115,-,36,-,250,-,100,20,14,30,859,0.24,-,-,-,-,-,-,-,-,,L/h,,,,
,,RO-3134B,YIP3-0005,Sampling to EA-3134,RESTRICTION ORIFICE,"1""",FF59C,PDI ,L,-,31.5,-,-,115,-,36,-,250,-,100,20,14,30,859,0.24,-,-,-,-,-,-,-,-,,L/h,,,,
,,RO-3134AX,YIP3-0009,GA-3134 SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3134CX,YIP3-0009,GA-3134 SEAL PLAN,RESTRICTION ORIFICE,"1/2""",BB55C1,VFL,V,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,Nm3/h,,,,
,,RO-3145AA,YIP3-0007,GA-3145A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
,,RO-3145AB,YIP3-0007,GA-3145A SEAL PLAN,RESTRICTION ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Pump Vendor,,,,,
