TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,FV-3359,YIP3-3007,GA-3371A/B DISCHARGE,GLOBE,"2""",BB55C1,PDI ,L,-,5.93,-,-,35,-,8.6,-,120,-,12,9.1,0.3,2,780.7,1.54,-,-,-,-,0.11,-,-,FC,,,,,,
,,FV-3361,YIP3-3006,LP STEAM TO EA-3361,GLOBE,"4""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,1238.4,1032,722.4,1,2.3,0.01,18,1.34,1,-,-,-,-,FC,,,,,,
,,FV-3366,YIP3-3006,GA-3365A/B DISCHARGE,GLOBE,"1""",BB55C1,PDI ,L,-,4.3,-,-,74,-,6.9,-,120,-,1.5,1.083672412,0.758570688,0.6,771.7,0.48,-,-,-,-,1.03,-,-,FC,,,,,,
,,FV-3368,YIP3-3006,DA-3360 REFLUX,GLOBE,"1""",BB55C1,PDI ,L,-,4.4,-,-,74,-,6.9,-,120,-,2.3,1.772709602,1.240896722,1.1,771.7,0.48,-,-,-,-,1.03,-,-,FC,,,,,,
,,FV-3513A,YIP3-8025,SM TO FLARE MAIN,GLOBE,"8""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,5600,-,50,1.6,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,To be confirmed by vendor.,,,,,
,,FV-3513B,YIP3-8025,SM TO FLARE STAGED,GLOBE,"3""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,700,-,200,1.6,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,To be confirmed by vendor.,,,,,
,,FV-3820,D-G-1-8012,CW BLOW DOWN,GLOBE,"2""",BB55C,WCS,L,-,4.8,-,-,32,-,7,-,60,-,10,3,2,0.7,995.3,0.77,-,-,-,-,0.05,-,-,FC,,,,,,
,,FV-3830,YIP3-8013,MP STEAM TO DA-3830,GLOBE,"4""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,1242,1035,724.5,1.8,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,,,,,,
,,FV-3836,YIP3-8013,WT TO DA-3830 INLET,GLOBE,"3""",BB55C1,WT,L,-,4.8,-,-,100,-,10,-,160,-,21.8,18.22840601,12.75988421,0.3,958.6,0.28,-,-,-,-,1.04,-,-,FC,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HV-3118,YIP3-1001,N2 TO DC-3110,GLOBE,"2""",BB59C,NH,V,45,40,-,-,AMB,-,55,-,280,-,571,475.8333333,333.0833333,0.2,43.9,0.02,28,1.46,1,-,-,-,-,FC,Hand wheel,,,,,
,,HV-3119,YIP3-1001,DC-3110 VENT TO FLARE,GLOBE,"6""",BB59C,PRG,V,40,37,-,-,185,-,55,-,280,-,7968,6640,4648,36.7,43.5,0.0153,37.28,1.23,0.84,-,-,-,-,FC,,,,,,
,,HV-3146,YIP3-1002,FC-3120 VENT TO FLARE,GLOBE,"4""",BB59C1,VFL ,V,-,31,-,-,94,-,55,-,150,-,3932,3276.666667,2293.666667,30.7,64.4,0.01,43.55,1.44,0.7,-,-,-,-,FC,Manual Override : Hand Wheel,,,,,
,,HV-3166,YIP3-1003,FC-3165 VENT TO FLARE,GLOBE,"4""",BB55C,VFL ,V,-,0.1,-,-,38,-,2,-,120,-,673,370,259,MIN,2.48,0.01,56.62,1.11,0.98,-,-,-,-,FC,,,,,,
,,HV-3214,YIP3-2001,EA-3217 VAPOR OUTLET,GLOBE,"1 1/2""",BB57C1,PRG,V,-,16.4,-,-,39,-,25,-,120,-,19.87646246,16.56371871,11.5946031,10.9,36.47,0.01,41.95,1.4,0.75,-,-,-,-,FC,,,,,,
,,HV-3228,YIP3-2002,FA-3223 LIQUID OUTLET,GLOBE,"1""",BB55C1,PHE,L,-,5.5,-,-,30,-,7.5,-,120,-,1.1,0.916666667,0.641666667,5.3,552.5,0.12,-,-,-,-,4.47,-,-,FC,,,,,,
,,HV-3320,YIP3-3002,MP STEAM TO EA-3321,GLOBE,"8""",BB57C,SM,S,-,9.8,-,-,198,-,12,-,250,-,15828,13193,9225.3,0.2,5.1,0.02,18,1.36,0.96,-,-,-,-,FC,,,,,,
,,HV-3354,YIP3-3004,ORGANIC PHASE TO FA-3354,GLOBE,"1""",BB55C1,PS,L,-,3.8,-,-,40,-,7.1,-,120,-,1.68,1.4,0.98,3.6,789.4,0.81,-,-,-,-,0.44,-,-,FC,,,,,,
,,HV-3355,YIP3-3004,FA-3354 OUTLET,GLOBE,"11/2""
(Hold)",BB55C1,PS,L,-,0.5,-,-,30,-,2,-,120,-,1.44,1.2,0.84,0.2,802.1,0.73,-,-,-,-,0.53,-,-,FC,,,,,,
,,HV-3814B,YIP3-8011,LP STEAM TO EA-3815,GLOBE,"4""",BB55C,SL,S,-,3.5,-,-,147,-,6,-,200,-,2513,2094.166667,1465.916667,1,2.3,0.01,18,1.36,1,-,-,-,-,FC,,,,,,
